apple red
TV square
winter cold
summer hot
scent pleasant
floor slippery
subway crowded
traffic heavy
hair curly
beast wild
street noisy
war brutal
disaster unpredictable
memory precious
disease infectious
night dark
rule rigid
message encrypted
cushion soft
description precise
decision fair
schedule full
discovery meaningful
reference reliable
wish sincere
debate heated
notebook organized
relic ancient
voyage risky
issue urgent
achievement remarkable
judgement biased
candidate qualified
tone harsh
inventory large
transition smooth
mistake trivial
economy depressed
dataset massive
solution creative
ocean serene
foundation solid
resource scarce
water polluted
sky clear
return diminishing
ideal lofty
